style	stem	facets	backfacing	area_pct	verdict
ArtDeco	artdeco_ring_D--	241720	0	0.00000	PASS
BambooSegments	bamboosegments_ring_D--	324801	0	0.00000	PASS
BasketWeave	basketweave_ring_D--	844520	2538	0.51404	NOT-MEASURED
CelticKnot	celticknot_ring_D--	2537301	70000	3.01003	NOT-MEASURED
CelticTriquetra	celtictriquetra_ring_D--	1714638	28375	0.95229	FAIL
Crystalline	crystalline_ring_D--	1163100	21064	1.09450	FAIL
DragonScales	dragonscales_ring_D--	667837	155	0.00041	FAIL
FourierBloom	fourierbloom_ring_D--	533521	0	0.00000	PASS
GeometricStar	geometricstar_ring_D--	885400	60220	1.46237	FAIL
GothicArches	gothicarches_ring_D--	61120	228	0.21403	FAIL
GyroidManifold	gyroidmanifold_ring_D--	1132314	10267	0.32485	FAIL
HexagonalHive	hexagonalhive_ring_D--	880000	1000	0.01409	FAIL
LowPolyFacet	lowpolyfacet_ring_D--	137480	0	0.00000	PASS
RippleInterference	rippleinterference_ring_D--	170496	0	0.00000	PASS
SpiralRidges	spiralridges_ring_D--	763322	3738	0.00180	FAIL
SuperellipseMorph	superellipsemorph_ring_D--	155824	0	0.00000	PASS
SuperformulaBlossom	superformulablossom_ring_D--	160600	0	0.00000	PASS
Voronoi	voronoi_ring_D--	806765	62332	0.50635	FAIL
WaveInterference	waveinterference_ring_D--	168288	4	0.00005	FAIL
